|San Diego|US
Escuela Superior de Ingenieria Informatica. Universidad de Vigo|Ourense|Spain
ETH Zurich|Zurich|Switzerland
"ETIC, EA 4432. User Experience Lab|Metz|France"
European University Cyprus|Nicosia|Cyprus
"Facebook, Inc.|Menlo Park|US"
"Facebook, Inc.|Palo Alto|US"
FBK-IRST|Povo|Italy
FBK-IRST|Trento|Italy
FBK|Povo|Italy
Fidelity Investments|Boston|US
Florida Institute of Technology|Melbourne|US
Florida State University|Tallahassee|US
Folkwang University of the Arts|Essen|Germany
Fondazione Bruno Kessler|Tretno|Italy
Fontys University of Applied Science|Eindhoven|The Netherlands
Ford Motor Company|Dearborn|US
Foundation for Research and Technology - Hellas|Heraklion|Greece
FrankNoz.com|San Francisco|US
Fraunhofer FIRST|Berlin|Germany
Fraunhofer FIT|Sankt Augustin|Germany
Fraunhofer IAO|Stuttgart|Germany
Fraunhofer IESE|Kaiserslautern|Germany
Fraunhofer IGD|Darmstadt|Germany
Fraunhofer Institute for Applied Information Technology (FIT)|Sankt Augustin|Germany
Fraunhofer Institute for Experimental Software Engineering|Kaiserslautern|Germany
Fraunhofer MEVIS|Bremen|Germany
Friends of the cemetery|Cambridge|UK
Frostburg State University|Frostburg|US
FTW Telecommunications Research Center|Vienna|Austria
Fudan University|Shanghai|China
Fujitsu Limited|Kawasaki|Japan
FUSE Labs|Redmond|US
Future University Hakodate|Hakodate|Japan
"FX Palo Alto Laboatory, Inc.|Palo Alto|US"
FZI Research Center for Information Technology|Karlsruhe|Germany
Galileo University|Guatemala City|Guatemala
Games for Learning Institute|New York|US
GE Global Research|San Ramon|US
GE HealthCare|Buc|France
George Mason University|Fairfax|US
Georgia Institute of Technology|Atlanta|US
German Research Center for Artificial Intelligence|Kaiserslautern|Germany
German Research Institute for Artificial Intelligence (DFKI)|Saarbrucken|Germany
Gifu University|Gifu|Japan
Glasgow Caledonian University|Glasgow|UK
"Goldsmiths, University of London|London|UK"
Google Research|Mountain View|US
Google UK|London|UK
"Google, Inc.|Mountain View|US"
"Google, Inc.|New York|US"
"Google, Inc.|San Francisco|US"
"Google, Inc.|Sydney|Australia"
"Google, Switzerland|Zurich|Switzerland"
Gothenburg University|Gothenburg|Sweden
Graduate Institute of Networking and Multimedia|Taipei|Taiwan
Graduate Institution of Multimedia and Networking|Taipei|R.O.C.(Taiwan)
"Graduate School of Information Science and Technology, Osaka University|Osaka|Japan"
"Graduate School of Library, Information and Media Studies, University of Tsukuba|Tsukuba|Japan"
"Graduate School of Media Design, Keio University|Yokohama|Japan"
Grameenphone Ltd|Dhaka|Bangladesh
Graz Medical University|Graz|Austria
Graz University of Technology|Graz|Austria
"GREPS, University of Lyon, University Lyon 2|Bron|France"
Hackerspace.sg|Singapore|Singapore
Hangzhou Normal University|Hangzhou|China
Hans Bredow Institute for Media Research|Hamburg|Germany
Hanyang Univ.|Seoul|Republic of Korea
Hanyang University|Seoul|Korea
Hartnell College|Salinas|US
Harvard Medical School|Cambridge|US
Harvard University|Cambridge|US
Harvey Mudd College|Claremont|US
Hasselt University|Diepenbeek|Belgium
Hasso Plattner Institute|Potsdam|Germany
"HCII & Heinz College, Carnegie Mellon University, Pittsburgh|Pittsburgh|US"
HCIL|College Park|US
Healing and Rebuilding our Communities|Gisenyi|Rwanda
Hear for Yourself|Seattle|US
HEC Montreal|Montreal|Canada
Hellenic Open University|Patras|Greece
