Pontifical Catholic University of Rio de Janeiro (PUC-Rio)	Rio de Janeiro	Brazil
INRIA Rennes	Rennes	France
Yahoo! Labs	Barcelona	Spain
Interface Ecology Lab, Texas A&M University	College Station	US
University of Aberdeen	Aberdeen	UK
SAP France	Levallois Perret	France
Incaa Designs	Winslow	US
Media Informatics Group, University of Munich (LMU)	Munich	Germany
Centre for Intermedia	Exeter	UK
Graz University of Technology	Graz	Austria
CURE - Center for Usability Research & Engineering	Vienna	Austria
Montclair State University	Montclair	US
Simon Fraser University	Surrey	Canada
Adobe	Seattle	US
University of Applied Sciences Amberg-Weiden	Amberg	Germany
University of Mannheim	Mannheim	Germany
CEA LIST	Fontenay-aux-Roses	France
Union County Public Schools	Monroe	US
DGA	Bagneux	France
University of Rochester	Rochester	US
Bunkyo	Tokyo	Japan
Nokia	Sunnyvale	US
Luminanze Consulting, LLC	Silver Spring	US
CSIR-Meraka	Pretoria	South Africa
Institute for Computer Graphics and Vision	Graz	Austria
Elsevier	St. Louis	US
Institute of Human Factors and Ergonomics	Beijing	China
The University of New South Wales	Canberra	Australia
University of Michigan, School of Information	Ann Arbor	US
National Institute of Informatics	Tokyo	Japan
ulinkm.com Co.,Ltd.	Wuyishan	China
the University of Tokyo	Bunkyo-ku	Japan
Living Research Labs Inc.	Seattle	US
Lextant	Columbus	US
Scalable Conversations	Berkeley	US
Technical University of Crete	Chania	Greece
Polytechnic Institute of New York University	Brooklyn	US
Graz Medical University	Graz	Austria
IBM Research - Tokyo	Tokyo	Japan
LITA, EA 3097. computer Lab	Metz	France
Yonsei University	Seoul	Republic of Korea
Toronto Rehab	Toronto	Canada
University of Hawaii at Manoa	Honolulu	US
Google, Inc.	New York	US
The MITRE Corporation	McLean	US
Paris Descartes University	Paris	France
MIT Media Lab, Cambridge	Cambridge	US
University of Genoa	Genoa	Italy
Ruhr-University of Bochum	Bochum	Germany
DSV	Stockholm	Sweden
Queen's University	Kingston	Canada
George Mason University	Fairfax	US
JST, PRESTO	Kawaguchi	Japan
NTU	Singapore	Singapore
Carleton University	Ottawa	Canada
University of Maryland, Baltimore County	Baltimore	US
Indian Institute of Technology Kharagpur	Kharagpur	India
Towson University	Towson	US
INRIA & Univ Paris-Sud	Orsay	France
