Institute,City,Country
NUST,Islamabad,Pakistan
Hanyang university,Seoul,Korea
CNR-ISTI,Pisa,Italy
University of Lisbon,Lisbon,Portugal
University of Michigan,Ann Arbor,US
University of Patras,Patras,Greece
"Information Science, Cornell University",Ithaca,US
temp,temp,India
JHT Incorporated,Orlando,US
The University of Tokyo,Tokyo,Japan
Fraunhofer IESE,Kaiserslautern,Germany
New York Institute of Technology,New York,US
TERC,Cambridge,US
Center for Internet Excellence (CIE),Oulu,Finland
Portland State University,Portland,US
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Rio de Janeiro,Brazil
INRIA Rennes,Rennes,France
Yahoo! Labs,Barcelona,Spain
"Interface Ecology Lab, Texas A&M University",College Station,US
University of Aberdeen,Aberdeen,UK
University of Toulouse,Tolouse,France
SAP France,Levallois Perret,France
The Open University,Milton Keynes,UK
Incaa Designs,Winslow,US
"Media Informatics Group, University of Munich (LMU)",Munich,Germany
Centre for Intermedia,Exeter,UK
Graz University of Technology,Graz,Austria
CURE - Center for Usability Research & Engineering,Vienna,Austria
Media Informatics Group,Munich,Germany
Montclair State University,Montclair,US
Simon Fraser University,Surrey,Canada
University of Sussex,Falmer,UK
Adobe,Seattle,US
"School of Informatics & Computing, Indiana University",Bloomington,US
Lancaster university,Lancaster,UK
University of Applied Sciences Amberg-Weiden,Amberg,Germany
University of Mannheim,Mannheim,Germany
CEA LIST,Fontenay-aux-Roses,France
University of Sussex,"Falmer, Brighton",UK
Union County Public Schools,Monroe,US
DGA,Bagneux,France
seoul national universiy,seoul,Republic of Korea
University of Rochester,Rochester,US
"University of Glasgow, UK",Glasgow,UK
Bunkyo,Tokyo,Japan
Nokia,Sunnyvale,US
"Luminanze Consulting, LLC",Silver Spring MD 20902,US
"University of Crete, Computer Science Department",Heraklion,Greece
Samsung Telecommunications America,Richardson,US
CSIR-Meraka,Pretoria,South Africa
Institute for Computer Graphics and Vision,Graz,Austria
Elsevier,St. Louis,US
Institute of Human Factors and Ergonomics,Beijing,China
The University of New South Wales,Canberra,Australia
University of Michigan School of Information,Ann Arbor,US
National Institute of Informatics,Tokyo,Japan
"ulinkm.com Co.,Ltd.",Wuyishan,China
the University of Tokyo,Bunkyo-ku,Japan
Living Research Labs Inc.,Seattle,US
Lextant,Columbus,US
Scalable Conversations,Berkeley,US
Technical University of Crete,Chania,Greece
Polytechnic Institute of New York University,Brooklyn,US
Graz Medical University,Graz,Austria
University of Maryland,College Park,US
IBM Research - Tokyo,Tokyo,Japan
"LITA, EA 3097. computer Lab",Metz,France
Yonsei University,Seoul,Republic of Korea
UC Berkeley,Berkeley,US
"Rutgers, The State University of New Jersey",New Brunswick,US
"University of Stuttgart, Stuttgart",Stuttgart,Germany
Toronto Rehab,Toronto,Canada
University of Hawaii at Manoa,Honolulu,US
Google,New York,US
The MITRE Corporation,McLean,US
Paris Descartes University,Paris,France
The University of Electro-communications,"Chofu, Tokyo",Japan
"MIT Media Lab, Cambridge",Cambridge,US
University of Genoa,Genoa,Italy
Ruhr-University of Bochum,Bochum,Germany
DSV,Stockholm,Sweden
Massachusetts Institute of Technology,Cambridge,US
Queen's University,Kingston,Canada
George Mason University,Fairfax,US
"University of Illinois, Chicago",Chicago,US
"JST, PRESTO",Kawaguchi,Japan
NTU,Singapore,Singapore
Carleton University,Ottawa,Canada
"University of Maryland, Baltimore County",Baltimore,US
Indian Institute of Technology Kharagpur,Kharagpur,India
Towson University,Towson,US
INRIA & Univ Paris-Sud,Orsay,France
The University of Sydney,Sydney,Australia
Rackspace,San Antonio,US
University of Chicago,Chicago,United States of America
university of linz,linz,Austria
UCSD,La Jolla,US
University of Louvain,Louvain-la-Neuve,Belgium
University of Graz,Graz,Austria
